all for 4th session",business,1
22036,ymzxip5t,ymzxip5t-1,"Chinese-owned British Steel has announced its plans to close coke ovens in northern England, with the loss of up to 260 jobs. Its CEO Xifeng Han said it's ""undergoing the biggest transformation in our 130-year history"". ""We have taken action to reduce costs within our control; however, steelmaking in the UK remains uncompetitive...compared to other international steelmakers,"" he added.","Chinese-owned British Steel to shut coke ovens in UK, cut 260 jobs",business,1
22037,3wsziybf,3wsziybf-1,"A part of model answer was printed in place of a question in the English question paper of Class 12 Maharashtra board examination. Further, two questions included instructions meant for examiners, Hindustan Times reported. An official of MSBSHSE accepted that there was a ""printing error"". Generally in such cases, marks assigned for the question are given to students, she added. ",Answers printed on Class 12 English question paper of Maha board,education,12
22037,3wsziybf,3wsziybf-1,"A part of model answer was printed in place of a question in the English question paper of Class 12 Maharashtra board examination. Further, two questions included instructions meant for examiners, Hindustan Times reported. An official of MSBSHSE accepted that there was a ""printing error"". Generally in such cases, marks assigned for the question are given to students, she added. ",Answers printed on Class 12 English question paper of Maha board,national,0
22038,ssfjuwcc,ssfjuwcc-1,"Talking about Umran Malik, Pakistan pacer Ihsanullah, who's representing Multan Sultans in the ongoing edition of Pakistan Super League (PSL), said, ""Umran had recorded 157 kmph, I'll try to break his record."" ""I'll be aiming for the 160 kmph mark,"" added Ihsanullah. Umran earlier bowled the fastest-ever delivery by an Indian in international cricket in an ODI vs Sri Lanka.","Umran recorded 157 kmph, I'll aim for 160 kmph: Pak's Ihsanullah",sports,2
22039,l_nz9ygz0c,l_nz9ygz0c-1,"The Navi Mumbai Municipal Corporation (NMMC) will spend ₹3.5 crore on tree census which is expected to begin by the end of December, an official said. The provision for the census, which will be conducted after nearly six years, was made in the civic body's budget. The project will use GPS technology to maintain tree census data.",Navi Mumbai civic body's ₹3.5 cr tree census to begin in December,national,0
22040,u4cz1o21,u4cz1o21-1,"RJD chief Lalu Prasad Yadav's son and Bihar minister Tej Pratap on Wednesday rode a bicycle to the secretariat building in a bid to spread a message about climate change. Moreover, he said that he saw the late Samajwadi Party founder Mulayam Singh Yadav in his dream and took inspiration from him to use a bicycle to save the environment. ","Minister says he saw Mulayam Yadav in dream, rides bicycle to work",politics,5
22040,u4cz1o21,u4cz1o21-1,"RJD chief Lalu Prasad Yadav's son and Bihar minister Tej Pratap on Wednesday rode a bicycle to the secretariat building in a bid to spread a message about climate change. Moreover, he said that he saw the late Samajwadi Party founder Mulayam Singh Yadav in his dream and took inspiration from him to use a bicycle to save the environment. ","Minister says he saw Mulayam Yadav in dream, rides bicycle to work",national,0
22041,ol85uscu,ol85uscu-1,"Talking about her 87-run knock in T20 World Cup 2023 match against Ireland, Smriti Mandhana said that it was ""one of the toughest innings"" she has played. ""Not the wicket but the pace they were bowling and with the wind, it got worse,"" she added. Mandhana scored 87 runs off 56 deliveries on Monday.",One of the toughest innings I played: Smriti on her 87-run knock,sports,2
22042,d0revazj,d0revazj-1,"Aam Aadmi Party (AAP) candidate Aaley Mohammad Iqbal was elected as the new Deputy Mayor of Delhi on Wednesday. He got 147 votes against BJP's Kamal Bagri, who received 116 votes. AAP candidate Shelly Oberoi has been elected as the new Mayor of the Municipal Corporation of Delhi.",AAP's Aaley Mohammad Iqbal elected as new Deputy Mayor of Delhi,politics,5
22042,d0revazj,d0revazj-1,"Aam Aadmi Party (AAP) candidate Aaley Mohammad Iqbal was elected as the new Deputy Mayor of Delhi on Wednesday. He got 147 votes against BJP's Kamal Bagri, who received 116 votes. AAP candidate Shelly Oberoi has been elected as the new Mayor of the Municipal Corporation of Delhi.",AAP's Aaley Mohammad Iqbal elected as new Deputy Mayor of Delhi,national,0
22043,qbs6zabh,qbs6zabh-1,"A 25-year-old woman reportedly stabbed her 30-year-old husband to death in Assam's Silchar on Tuesday. According to police, the woman attacked him with scissors after he slapped her in a drunken state. She was arrested when she took him to the hospital. She alleged that her husband tortured her almost every day.",25-yr-old woman stabs husband to death after he slaps her in Assam,national,0
22044,tw2zzhy4,tw2zzhy4-1,"A woman gave birth to a child on a moving train in Gujarat on Tuesday with the help of female passengers, Western Railway said. Panki, who was travelling to Rajasthan's Falna, and her baby were taken to a hospital after Suryanagari Express reached Surat. ""Mother and newborn baby are...healthy. The woman's husband...thanked the railway team for...quick help,"" Western Railway added.","Woman delivers baby on moving train in Gujarat, pic surfaces",national,0
22045,x2bxfsln,x2bxfsln-1,"The Gujarat HC on Wednesday ordered Oreva Group to pay ₹10 lakh as compensation to the families of each of the 135 Morbi bridge collapse victims. The court added that every injured person should be paid an interim compensation of ₹2 lakh. On Tuesday, Oreva Group offered to pay a compensation totalling ₹5 crore to the families of the victims.",Pay ₹10 lakh to Morbi bridge collapse victims: HC to Oreva Group,national,0
22046,8vu7zov6,8vu7zov6-1,The SC on Wednesday refused to stay the EC's order that granted the 'Shiv Sena' name and original 'bow and arrow' symbol to the faction led by Maharashtra CM Eknath Shinde. It added that the Uddhav Thackeray faction will continue to be known as 'Shiv Sena (Uddhav Balasaheb Thackeray)' and use the new 'flaming torch' symbol for all upcoming by-elections.,"SC refuses to stay EC order, Shinde faction gets Sena name, symbol",politics,5
22046,8vu7zov6,8vu7zov6-1,The SC on Wednesday refused to stay the EC's order that granted the 'Shiv Sena' name and original 'bow and arrow' symbol to the faction led by Maharashtra CM Eknath Shinde. It added that the Uddhav Thackeray faction will continue to be known as 'Shiv Sena (Uddhav Balasaheb Thackeray)' and use the new 'flaming torch' symbol for all upcoming by-elections.,"SC refuses to stay EC order, Shinde faction gets Sena name, symbol",national,0
22047,vzvos0s5,vzvos0s5-1,"Pakistan captain Babar Azam said one of his primary goals this year is to ""win ICC World Cup 2023 [which is] scheduled in India"". ""I want Pakistan to be the winning side,"" he added. Babar stated he also wants to score his ""maiden Pakistan Super League (PSL) century in PSL 2023 and win the tournament for Peshawar Zalmi"".",Want Pak to be winning side in India: Babar on ODI World Cup 2023,sports,2
22048,l_jnyhc1nz,l_jnyhc1nz-1,"A 29-year-old man from Maharashtra's Amravati, who recently participated in Mumbai Police's recruitment drive, died on Tuesday. The deceased, Amar Solanki, vomited and fell unconscious after returning to his Mumbai hotel room, following which he was taken to the hospital where he succumbed. This comes days after a 26-year-old aspirant collapsed and died during a race conducted in the drive.",2nd aspirant dies after taking part in Mumbai Police job drive,national,0
22049,q3askj0i,q3askj0i-1,Australia have sent their spinner Ashton Agar back home from India amid the ongoing Test series. Australia selector Tony Dodemaide confirmed on Wednesday that Agar has flown home to Perth to play in the Marsh Sheffield Shield. Opener David Warner and fast bowler Josh Hazlewood have already gone home due to injury.,Australia send Ashton Agar back home from India,sports,2
22050,2yk9gy3v,2yk9gy3v-1,"The ICC on Wednesday released the latest rankings for Test all-rounders, with three Indians featuring in the top five. Ravindra Jadeja is on top of the rankings with 460 rating points. He is followed by Ravichandran Ashwin, who is ranked second with 376 rating points. India's Akshar Patel is ranked fifth with 283 rating points.","Latest rankings for Test all-rounders released, 3 Indians now in top 5",sports,2
22051,zoa8p1vj,zoa8p1vj-1,"The United Kingdom has surpassed India as the world's sixth largest equity market for the first time in almost nine months over a weaker British Pound and Adani Group's ongoing stock rout. The combined m-cap of primary listings in the UK reached about $3.11 trillion on Tuesday, about $5.1 billion higher than Indian equivalents, according to data compiled by Bloomberg.",UK surpasses India as world's 6th largest equity market: Bloomberg,business,1
22052,ir0aucl9,ir0aucl9-1,"Actor Akshay Kumar on Wednesday broke the Guinness World Record for most selfies taken in three minutes during a meet and greet with his fans in Mumbai. He broke the record by clicking 184 selfies in three minutes. ""I'm ecstatic at...sharing this moment with my fans! Everything...I've achieved so far...is due to the unconditional love...of my fans,"" said Akshay.
",Akshay Kumar breaks Guinness World Record for most selfies taken in 3 minutes,entertainment,3
22053,8zdvtaek,8zdvtaek-1,"Edtech startup ﻿Camp K12﻿ has laid off 70% of its workforce, as per reports. According to a report, the coding edtech firm has refused to pay dues to its staff. Camp K12 was founded in 2010 by Anshul Bhagi, a graduate of the Massachusetts Institute of Technology (MIT) and Harvard Business School.",Edtech startup Camp K12 sacks 70% of its staff: Report,business,1
22053,8zdvtaek,8zdvtaek-1,"Edtech startup ﻿Camp K12﻿ has laid off 70% of its workforce, as per reports. According to a report, the coding edtech firm has refused to pay dues to its staff. Camp K12 was founded in 2010 by Anshul Bhagi, a graduate of the Massachusetts Institute of Technology (MIT) and Harvard Business School.",Edtech startup Camp K12 sacks 70% of its staff: Report,startup,7
22054,fkqhemmw,fkqhemmw-1,"Turkey has barred layoffs in several cities and provinces, additionally offering salary support in regions hit by the recent earthquakes. The moves are part of the Turkish government's steps to minimise the economic impact of the recent earthquakes that have claimed over 45,000 lives so far. Separately, Turkey introduced a state of emergency for three months on February 7.","Turkey bars layoffs, offers wage support in earthquake-hit regions",world,4
22055,l_ss5nzcbg,l_ss5nzcbg-1,"The TomTom Traffic Index Ranking 2022 has ranked Pune as the sixth-most congested city among 389 cities across 56 countries in the world. According to the survey, a commuter in Pune takes around 27 minutes and 20 seconds to cover 10 kilometres, which is one minute and 10 seconds more than what it used to take in 2021.",Pune 6th-most congested city among 389 cities in the world: Survey,national,0
22056,6dbarc1e,6dbarc1e-1,"Videos of Ranbir Kapoor dancing to the songs 'Chaiyya Chaiyya' and 'Dilliwaali Girlfriend' after wrapping the shooting schedule of his upcoming film 'Animal' have gone viral on social media. The videos were shared by the actor's fan accounts on Instagram. In one of the videos, Ranbir can be seen dancing to 'Ek Pal Ka Jeena' from 'Kaho Naa... Pyaar Hai'.","Ranbir Kapoor dances to 'Chaiyya…', 'Dilliwaali…', videos viral",entertainment,3
22057,ipw6kmw8,ipw6kmw8-1,"Chinese authorities have asked state-owned firms to stop using the four biggest global accounting firms, namely PwC, EY, KPMG and Deloitte, prompted by data security concerns, Bloomberg cited sources as saying. While offshore subsidiaries can use global auditors, their parent firms were urged to hire local Chinese or Hong Kong accountants when contracts come up for renewal.",China asks state firms to drop 4 biggest accounting firms: Report ,business,1
22057,ipw6kmw8,ipw6kmw8-1,"Chinese authorities have asked state-owned firms to stop using the four biggest global accounting firms, namely PwC, EY, KPMG and Deloitte, prompted by data security concerns, Bloomberg cited sources as saying. While offshore subsidiaries can use global auditors, their parent firms were urged to hire local Chinese or Hong Kong accountants when contracts come up for renewal.",China asks state firms to drop 4 biggest accounting firms: Report ,technology,6
22058,mcdzgiyf,mcdzgiyf-1,"The Cabinet's Appointments Committee approved Rajeev Raghuvanshi's appointment as the new Drug Controller General of India (DCGI) for a three-year period ending on February 28, 2025. In January, after conducting interviews, UPSC recommended Raghuvanshi for the post. DCGI heads the Central Drugs Standard Control Organisation (CDSCO), responsible for ensuring drug supply quality across the country.",Rajeev Raghuvanshi named new Drug Controller General of India,national,0
